Field Name,Suggested validation,Data Type,Question,Response options,Helper text,Hover Text:
inclusion_dimensions,Required; suggest “select a max of 6”,"Multi select (enum), with a taggable select for the Add new option",Which inclusion dimensions matter most in this context? ,"Gender
Disability
Poverty / economic status
Geography (rural / urban / remote)
Displacement / migration status
Ethnicity / language
Care status
Justice involvement
Age
Education status
Health status
Digital access
Add new (add tag)",Select the inclusion dimensions that are most relevant in this context.,This helps identify where inequality may shape participation or outcomes.
inclusion_gap_statement,Optional but recommended; max 300 characters,Short text,What inclusion gap are you trying to close? ,,"In one sentence, describe the inclusion gap you aim to close.",This keeps equity goals specific and measurable.
boundary_partners,Required; suggest “select up to 6”,"Multi select (enum), with a taggable select for the Add new option",What other boundary partners do you work through?,"Parents
Teachers
School leadership
Community leaders
Religious leaders
Government officials
Local Civil Society Organisations
Add new (add tag)",Select the boundary partners that your project engages with.,This identifies the other actors that constitute a child's circle of care in this context.
participation_barriers,Required; suggest “select a max of 8”,"Multi select (enum), with a taggable select for the Add new option. Sam, can this then link to the risk register",What could stop people from participating or benefiting? ,"Cost / financial barriers
Distance / transport
Safety / insecurity
Care responsibilities
Social norms / expectations
Stigma or discrimination
Disability access barriers
Language barriers
Lack of information
Documentation requirements
Gatekeeping by institutions or leaders
Low trust in services
Timing / scheduling conflicts
Digital access limitations
Add new (add tag)",Select what could prevent people from participating or benefiting. Click on the risk button to elaborate.,Barriers help explain participation patterns and highlight potential exclusion risks.
barriers_severity_map,Optional (but valuable for Learn),Structured object (map barrier → Low / Medium / High),"For the barriers you selected, how severe are they in this context?","Low severity | Medium serverity | High severity",Indicate how severe each selected barrier is in this context.,Severity helps prioritise mitigation and interpret uneven engagement.
equity_risk_flags,Required; suggest “select a max of 6”,"Multi select (enum), with a taggable select for the Add new option. Sam, can this then link to the risk register",What equity risks do you want to watch for during delivery? (Select all that apply),"Elite capture
Exclusion of highest-need groups
Reinforcing existing inequalities
Stigma or backlash
Breaches of confidentiality
Coercion or unsafe participation
Gender-based harm
Tokenistic participation
Power imbalances affecting voice
Safeguarding under-reporting
Add new (add tag)",Select the equity risks you want to monitor during delivery. Click on the risk button to elaborate.,"Monitoring risks supports safe, fair, and inclusive implementation."
mitigation_strategy,Required; suggest “select 1:,"Multi select (enum), with a taggable select for the Add new option. Sam, can this then link to the risk register",How will these barriers and equity risks be mitigated?,"Accept
Prevent
Reduce
Transfer
",Select the mitigation strategy for each of the equity risks.,Mitigation strategies enable proactive rather than reactive risk management.
Step 5 — Context and constraints,,,,,,
permission_points_required,Required; select all that apply,"Multi select (enum), with a taggable select for the Add new option. Link to risk register",What permissions or approvals are needed to deliver this work? ,"Government approval (national level)
Local authority approval
Institutional approval (e.g. school, clinic, facility)
Caregiver or parental consent
Community leader endorsement
Ethics or research approval
Safeguarding clearance
Data sharing agreements
Referral pathway agreements
Partner MOUs or contracts
None required
Add new (add tag)",Select the approvals or permissions needed to deliver this work. Click on the risk button to elaborate.,"Required permissions can affect pace, access, and risk exposure."
gatekeeper_categories,Required; select all that apply,"Multi select (enum), with a taggable select for the Add new option. Link to risk register",Who can enable or block implementation in practice? ,"Government officials
Local authorities
School leadership
Teachers or frontline staff
Health workers
Caregivers or families
Community leaders
Religious leaders
Youth leaders
Employers
Police or justice actors
Partner organisations
Donors or funders
No significant gatekeepers
Add new (add tag)",Select who can enable or block implementation in practice. Click on the risk button to elaborate.,"Gatekeepers influence access, trust, and sustainability."
implementation_constraints,Required; suggest “select a max of 6”,"Multi select (enum), with a taggable select for the Add new option. Link to risk register","What constraints could limit delivery quality, reach, or pace?","Funding limitations
Short funding cycles
Staffing capacity
Staff turnover
High workload in institutions
Infrastructure limitations
Transport or access issues
Political sensitivity
Regulatory complexity
Weak referral systems
Weak coordination between actors
Data limitations
Safety or security risks
Competing priorities in institutions
Seasonal factors
None
Add new (add tag)",Select the constraints that could limit implementation quality or reach. Click on the risk button to elaborate.,Constraints help interpret performance realistically and support adaptive planning.
primary_constraint_summary,Optional but recommended; max 300–400 characters,Short text,"What is the single biggest constraint right now, and why?",,Briefly describe the most significant constraint in 1-2 sentences.,This highlights where focused problem-solving may be needed.
enablers_incentives,"Optional,","Multi select (enum), with a taggable select for the Add new option.",What enabling conditions support this work?,"Strong leadership support
Policy alignment
Community demand
Clear evidence of need
Funding stability
Partner commitment
Public awareness
Existing infrastructure
Staff motivation
Legal or regulatory backing
Media attention
None 
Add new (add tag)",Select the conditions that support this work.,Enablers help explain where momentum or alignment exists.
resistance_factors,"Optional,","Multi select (enum), with a taggable select for the Add new option. Link to risk register",What could create resistance to this work?,"Fear of scrutiny or accountability
Increased workload for staff
Political sensitivity
Cultural or social resistance
Stigma around the issue
Resource competition
Power or control dynamics
Lack of trust
Financial disincentives
Policy uncertainty
None
Add new (add tag)",Select conditions that could create resistance. Click on the risk button to elaborate.,Anticipating resistance supports proactive risk management.
shock_profile,"Optional,","Multi select (enum), with a taggable select for the Add new option. Link to risk register",What shocks or seasonal factors could affect delivery or outcomes?,"Academic calendar / exam periods
Seasonal migration
Climate events (flooding, drought, etc.)
Conflict or insecurity
Disease outbreaks
Economic shocks
Elections or political transitions
Agricultural cycles
None 
Add new (add tag",Select shocks or seasonal factors that could affect delivery or outcomes. Click on the risk button to elaborate.,External factors can influence participation and results beyond your control.
Step 6 — Safeguarding,,,,,,
safeguarding_risk_rating,Required,Single select (enum),How would you rate the safeguarding risk environment for this work?,"Low risk
Moderate risk
High risk
Unsure",Select the overall safeguarding risk level for this work.,Risk levels shape engagement strategies and data collection approaches.
safeguarding_reporting_pathway_exists,Required,Boolean (Yes / No). If no add risk button,Is there a clear safeguarding reporting and referral pathway in place?,"Yes | No | Unsure",Indicate whether a reporting and referral pathway is in place. If 'no' click on the risk button to elaborate.,Clear pathways are essential for safe participation and responsible delivery.
safeguarding_notes,Optional; max 400–600 characters,Short text,What safeguarding considerations should shape engagement and data collection? (Short summary),,Briefly outline key safeguarding considerations for this context.,This ensures safeguarding realities inform engagement and learning.
data_collection_constraints,"Optional,","Multi select (enum), with a taggable select for the Add new option. Link to risk register","What constraints could affect safe, ethical, or feasible data collection? (Select all that apply)","Literacy limitations
Language barriers
Low digital access
Consent complexity
Sensitivity of topic
Fear of retaliation or stigma
Limited privacy for participation
Weak referral options for disclosures
Limited administrative data access
Staff capacity for data collection
Data protection or legal constraints
None 
Add new (add tag)",Select factors that could affect safe or ethical data collection. Click on the risk button to elaborate.,Data constraints help interpret evidence gaps and protect participants.
do_no_harm_red_lines,Optional but recommended; max 400–600 characters,Short text,What safeguards or boundaries must be upheld to ensure this work does not cause harm?,,Describe your non-negotiables to ensure do no harm. What will you not do?,This helps ensure ethical practice and protects participants during delivery and data collection.
Step 7 — Learning priorities,,,,,,
evidence_sources_used,Required,"Multi select (enum), with a taggable select for the Add new option. ",What evidence do you have and will use to guide decisions in this work?,"Lived experience and consultation
Internal monitoring data
Administrative data (government or institutional)
Needs assessment
Previous evaluation
Research literature
Partner evidence or reports
Policy strategies or national plans
No formal evidence base
Add new (add tag)",Select the evidence sources that inform and guide this work.,Understanding the evidence base helps interpret confidence and learning potential.
evidence_confidence_rating,Required,Single select,"Overall, how confident are you in the current evidence base for decision-making?","Low confidence
Moderate confidence
High confidence",Select your overall confidence in the available evidence.,Confidence levels help calibrate expectations and identify areas for strengthening.
baseline_data_availability,Required,"Multi select (enum), with a taggable select for the Add new option. ",What baseline data is available right now?,"No baseline data
Basic participation data
Outcome data for participants
Disaggregated data (e.g. by gender, disability, location)
Administrative system data
Qualitative baseline insights
External benchmark data
Add new (add tag)",Select what baseline data is available.,Baseline data shapes how change can be measured and interpreted.
key_uncertainties,Optional but recommended; max 400–600 characters,Short text,What are the key uncertainties you need to learn about? ,,What are you not yet confident about that could affect delivery or results?,Identifying key uncertainties helps focus learning and avoid assumptions that may limit impact.
top_learning_questions,Each max 200–300 characters,"Structured short text. 
three separate short fields: learning_question_1, learning_question_2, learning_question_3,",What are your top learning questions for the next phase? ,,List up to three priority learning questions for the next phase.,Clear learning questions guide analysis and ensure insights are decision-relevant
