Sub-theme name,Descriptor,Development status,Practice domain,ToC Stage,Date approved,Theme database,Framework database,Decision Notes,Approved By,Status
Perceived Importance and Value of Increased Village-Level Economic Activity,This sub-theme captures stakeholder perceptions of the importance and value of increased village-level economic activity associated with the presence of salaried staff and expanded service provision.,Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
Perceived Importance and Value of Improved Reliability of Essential Public Services,"This sub-theme captures stakeholder perceptions of the importance, significance, and lived value of improved reliability, functionality, and sustained accessibility of essential public services - including education, healthcare, and water.",Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
Free –  Consent is Given Voluntarily Without Coercion,"Communities  must have the ability to decide without force, manipulation, intimidation, or undue incentives. The FPIC process should ensure that Indigenous Peoples and Local Communities (IPLCs) can express their views openly, free from external pressure or power imbalances. Decision-making should take place in an  environment that respects cultural norms and allows for independent   reflection.",Approved,"Community Development, Environmental Management",1: Output,,"Free, Prior, and Informed Consent (FPIC) (https://www.notion.so/Free-Prior-and-Informed-Consent-FPIC-30a60bfb014e800ba124ee9467a8f4bf?pvs=21)",,,,Published to site
"Collective Efficacy and Community Solidarity
    ",Confidence that the community can work together to solve shared problems.,Approved,,2: Outcome,,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),,,,Published to site
Linking Social Capital: Trust in Institutions and External Actors,"Trust and ability to engage with those in power — including NGOs, government, project implementers, and traditional leaders.",Approved,,2: Outcome,,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),,,,Published to site
Bridging Social Capital: Collaboration Across Groups,"Relationships between different social groups (e.g. ethnicities, religions, generations, clans, or genders) that foster mutual understanding and cooperation.",Approved,,2: Outcome,,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),,,,Published to site
Bonding Social Capital: Trust and Support Within Communities,"Strength of relationships, solidarity, and mutual aid among people with shared identities or within the same group (e.g. neighbours, clan, livelihood group).",Approved,,2: Outcome,,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),,,,Published to site
Indigenous Knowledge Supports Sustainable and Culturally-Aligned Livelihoods,"Indigenous knowledge-based economic activities—such as traditional medicine, crafts, agroecology, and ecotourism—are supported in ethical, equitable, and sustainable ways.",Approved,,2: Outcome,,"Indigenous Knowledge Recognised, Practised & Sustained (https://www.notion.so/Indigenous-Knowledge-Recognised-Practised-Sustained-31060bfb014e80a8b2dfe71419b99c8d?pvs=21)",,,,Not Published
Integration of Indigenous Knowledge in Formal and Informal Education Systems,"The extent to which Indigenous knowledge, language, history, and practices are included in school curricula, local education programs, and informal learning within the community.",Approved,,2: Outcome,,"Indigenous Knowledge Recognised, Practised & Sustained (https://www.notion.so/Indigenous-Knowledge-Recognised-Practised-Sustained-31060bfb014e80a8b2dfe71419b99c8d?pvs=21)",,,,Not Published
Protection of Indigenous Cultural and Spiritual Heritage,"Sacred sites, cultural practices, and languages are preserved and safeguarded from destruction or exploitation.",Approved,,2: Outcome,,"Indigenous Knowledge Recognised, Practised & Sustained (https://www.notion.so/Indigenous-Knowledge-Recognised-Practised-Sustained-31060bfb014e80a8b2dfe71419b99c8d?pvs=21)",,,,Not Published
"Application of Indigenous Ecological Knowledge in Land, Climate, and Conservation Efforts","Indigenous land stewardship and ecological knowledge inform climate adaptation, conservation, and natural resource management strategies.",Approved,,2: Outcome,,"Indigenous Knowledge Recognised, Practised & Sustained (https://www.notion.so/Indigenous-Knowledge-Recognised-Practised-Sustained-31060bfb014e80a8b2dfe71419b99c8d?pvs=21)",,,,Not Published
Recognition and Influence of Indigenous Knowledge Holders,"Indigenous knowledge holders—including elders, leaders, and practitioners—are recognised as experts and decision-makers in environmental governance, land management, and cultural stewardship. Their expertise actively shapes policy, planning, and implementation processes.",Approved,,2: Outcome,,"Indigenous Knowledge Recognised, Practised & Sustained (https://www.notion.so/Indigenous-Knowledge-Recognised-Practised-Sustained-31060bfb014e80a8b2dfe71419b99c8d?pvs=21)",,,,Not Published
Redistribution of Care and Domestic Responsibilities,"Care work, domestic responsibilities, and decision-making within households are equitably distributed, reducing the burden on women.",Approved,,2: Outcome,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),,,,Not Published
Involvement in Collective Action and Advocacy,"Community members—particularly women, youth, persons with disabilities, and other historically excluded groups—organise, mobilise, and advocate for their rights, needs, and priorities. This sub-theme tracks active engagement in community campaigns, movements, or initiatives that challenge injustice, influence decision-making, and foster solidarity.",Approved,,2: Outcome,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),,,,Not Published
Reduction in Discrimination and Harmful Norms,"Addressing and transforming the social norms, attitudes, and behaviours that reinforce exclusion, inequality, and stigma. This sub-theme focuses on reducing discrimination based on gender, disability, ethnicity, age, or other identities, and promoting inclusive beliefs and practices that uphold dignity, equity, and respect for all.",Approved,,2: Outcome,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),,,,Not Published
"Consent  – Right to Accept, Reject, or Set Conditions","Communities must have the power to approve, reject, or set conditions for project activities affecting them. Consent must be an ongoing process, allowing communities to withdraw or renegotiate agreements as circumstances change. Genuine consent means that decisions are respected, and project proponents cannot proceed without clear and collective agreement from the affected community.",Approved,"Community Development, Environmental Management",1: Output,,"Free, Prior, and Informed Consent (FPIC) (https://www.notion.so/Free-Prior-and-Informed-Consent-FPIC-30a60bfb014e800ba124ee9467a8f4bf?pvs=21)",,,,Published to site
"Informed  – Access to Full, Accurate, and Understandable Information","Communities must have access to all relevant details about the project, including its objectives, risks, benefits, impacts, and long-term implications. Information should be shared in culturally appropriate formats and languages, ensuring that all groups—including women, elders, and marginalized members—can understand and engage meaningfully. IPLCs must also have the opportunity to seek independent advice or verification.",Approved,"Community Development, Environmental Management",1: Output,,"Free, Prior, and Informed Consent (FPIC) (https://www.notion.so/Free-Prior-and-Informed-Consent-FPIC-30a60bfb014e800ba124ee9467a8f4bf?pvs=21)",,,,Not Published
Prior  – Consent is Obtained Before Project Decisions Are Made,"Consent must be sought early in the project development process—before decisions are finalized or activities begin. Communities must be engaged at the initial stages of planning and have ample time to discuss, evaluate, and decide without being rushed. FPIC should not be applied retroactively to justify actions already taken.",Approved,"Community Development, Environmental Management",1: Output,,"Free, Prior, and Informed Consent (FPIC) (https://www.notion.so/Free-Prior-and-Informed-Consent-FPIC-30a60bfb014e800ba124ee9467a8f4bf?pvs=21)",,,,Published to site
"Social infrastructure development ","This subtheme refers to the construction, rehabilitation, expansion, or upgrading of physical facilities and systems that support the delivery of essential social services, particularly in sectors such as education, health, and water. It focuses on improving the availability, functionality, and accessibility of infrastructure needed for people to obtain these services, and on creating the conditions for better service access, use, and wellbeing outcomes.",In development,Economic Development,1: Output,,Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21),,,,Not Published
Affordability & Financial Inclusion,"Reducing cost barriers to education, healthcare, and other essential services.",Approved,"Community Development, Economic Development, Systems Strengthening",1: Output,,Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21),,,,Published to site
Geographic Accessibility,Ensuring services are available in remote and underserved areas.,Approved,"Community Development, Economic Development, Systems Strengthening",2: Outcome,,Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21),,,,Published to site
"Inclusive Access ","Ensuring that all individuals—regardless of gender, age, disability, ethnicity, language, or social status—can access and benefit from essential services without discrimination or exclusion.",Approved,"Community Development, Economic Development, Systems Strengthening",2: Outcome,,Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21),,,,Published to site
Service Awareness & Outreach,"Ensuring that individuals and communities are aware of the essential services available to them—such as healthcare, education, and social protection—and understand how to access them. ",Approved,"Community Development, Economic Development, Systems Strengthening",1: Output,,Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21),,,,Published to site
FPIC & Ethical Engagement Readiness,"Ensuring that Indigenous Peoples and Local Communities have formally provided Free, Prior, and Informed Consent before any land-use changes occur. It verifies documented, time-bound consent processes grounded in transparency, participation, and non-coercion.",In development,Systems Strengthening,1: Output,,Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21),,,,Not Published
Carbon Rights & Legal Tenure Clarification,Ensuring that land tenure and carbon ownership rights are legally clarified and agreed upon with IPLCs prior to validation. It safeguards customary rights and prevents future disputes over resource control.,In development,Systems Strengthening,1: Output,,Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21),,,,Not Published
Participatory Benefit-Sharing Design,"Ensuring that a community-ratified Benefit Sharing Mechanism defines how carbon revenues flow from credit sales to households. It promotes transparency, equity, and collective decision-making in financial distribution.",In development,Systems Strengthening,1: Output,,Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21),,,,Not Published
Socio-Economic  Baselines,Ensuring that rigorous socio-economic and High Conservation Value assessments are completed with community participation prior to implementation. It establishes an evidence-based foundation for monitoring social and ecological change.,In development,Systems Strengthening,1: Output,,Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21),,,,Not Published
Risk Mitigation & Safeguard Planning,"Ensuring that social and environmental risks are identified and accompanied by community-approved mitigation strategies before implementation. It protects against displacement, elite capture, conflict, and unintended harm.",In development,Systems Strengthening,1: Output,,Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21),,,,Not Published
Child Protection & Support for Vulnerable Children,"Establishing strong child protection systems to prevent abuse, neglect, exploitation, and violence against children. Ensuring support for orphaned and vulnerable children through alternative care, family strengthening, and education access.",Approved,Child Protection,2: Outcome,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),,,,Published to site
"Community Safety, Crime Prevention & Justice Services","The extent to which community members feel safe from violence, crime, trafficking, and exploitation, and whether they believe justice systems are accessible, fair, and responsive. This includes perceptions of personal and collective safety, access to legal support, trust in justice institutions, and confidence that wrongdoings are addressed appropriately.",Approved,Community Development,2: Outcome,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),,,,Published to site
Education & Inclusive Learning,"Ensuring that schools are accessible, inclusive, and safe, while also improving the quality of teaching, learning outcomes, and support systems for children and youth—especially those from marginalized groups. This includes investments in trained teachers, relevant curricula, adequate learning materials, and inclusive classroom practices that enable all learners to thrive.",Approved,"Community Development, Systems Strengthening",2: Outcome,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),,,,Published to site
Gender-Based Violence & Survivor-Centered Response,"Preventing gender-based violence (GBV) and domestic abuse through education, community engagement, and social norm change, while ensuring that survivors have access to safe spaces, emergency care, legal aid, and long-term support. A survivor-centered approach prioritizes dignity, confidentiality, and access to justice for those affected.",Approved,Gender & Social Inclusion,2: Outcome,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),,,,Published to site
"Healthcare, Mental Health & Psychosocial Support","Ensuring that individuals and families have access to quality, affordable, and respectful healthcare services, including mental health and psychosocial support. This includes preventive and curative care, public health interventions, and counselling services that are culturally appropriate, confidential, and responsive to community needs—particularly for those experiencing trauma, chronic illness, or emotional distress.",Approved,"Public Health, Systems Strengthening",2: Outcome,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),,,,Published to site
Social Protection for Vulnerable Groups,"Expanding safety nets for individuals facing extreme poverty, displacement, or social exclusion, ensuring that vulnerable groups receive necessary support services.",Approved,Social Work,2: Outcome,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),,,,Published to site
Clarity about the short-term and long-term benefits of the project,"Ensuring that all stakeholders, particularly local communities, have a clear understanding of both the immediate and long-term benefits of the project. Clarity helps to manage expectations and promote trust in the project.",Approved,"Community Development, Governance & Compliance",1: Output,,Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21),,,,Published to site
Plans in place to ensure that marginalized groups benefit,"Ensuring that benefit-sharing mechanisms are inclusive and equitable, particularly for women, Indigenous Peoples, persons with disabilities, and other marginalized groups. ",Approved,"Community Development, Governance & Compliance",1: Output,,Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21),,,,Published to site
Potential negative unintended consequences considered & mitigated,"Ensuring that benefit-sharing mechanisms do not inadvertently create harm, exclusion, or social and economic disparities. ",Approved,"Community Development, Governance & Compliance",1: Output,,Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21),,,,Published to site
Participatory Benefit-Sharing Design,"Ensuring that a community-ratified Benefit Sharing Mechanism defines how carbon revenues flow from credit sales to households. It promotes transparency, equity, and collective decision-making in financial distribution.",Approved,"Community Development, Governance & Compliance",1: Output,,"Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21), Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21)",,,,Published to site
Access to Financial Services & Asset Building,"The extent to which individuals and households can access financial services—such as loans, savings accounts, and credit facilities—and their ability to build and sustain financial assets over time. ",Approved,Economic Development,2: Outcome,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),,,,Published to site
Employment secured,"Access to stable, fair, and dignified employment opportunities, ensuring compliance with labor rights and equitable pay.",Approved,Economic Development,2: Outcome,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),,,,Published to site
Household Economic Stability & Income Growth,"Changes in household income levels and overall economic well-being, assessing whether families experience increased financial security and reduced poverty.",Approved,Economic Development,2: Outcome,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),,,,Published to site
Livelihood diversification,"Supporting individuals and communities in developing multiple income-generating activities to reduce economic vulnerability, increase financial stability, and enhance resilience to external shocks such as climate change, market fluctuations, and job loss.",Approved,Economic Development,2: Outcome,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),,,,Published to site
Self-employment & entrepreneurship growth,"Support for small businesses, cooperatives, and local enterprises, fostering self-reliance and new income streams.",Approved,Economic Development,2: Outcome,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),,,,Published to site
Socio-Economic Baselines,Ensuring that rigorous socio-economic and High Conservation Value assessments are completed with community participation prior to implementation. It establishes an evidence-based foundation for monitoring social and ecological change.,Approved,"Community Development, Economic Development",1: Output,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),,,,Not Published
Biodiversity & Ecosystem Conservation for Livelihoods,"Protecting and restoring biodiversity and ecosystems to sustain and enhance local livelihoods. This includes conservation of forests, wetlands, and wildlife to support sustainable agriculture, fishing, ecotourism, and other nature-based economic activities. By maintaining healthy ecosystems, communities can improve food security, climate resilience, and long-term economic opportunities while ensuring the sustainable use of natural resources.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Climate Regulation & Disaster Resilience,"Strengthening the ability of ecosystems to mitigate floods, droughts, and extreme weather impacts.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Climate Resilience & Disaster Risk Reduction,"Strengthening the ability of ecosystems to mitigate floods, droughts, and extreme weather impacts.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Pollution Prevention & Waste Management,"Reducing pollution from agricultural runoff, plastic waste, and industrial activities to protect soil, water, and air quality. Promoting circular economy practices, waste recycling, and responsible disposal methods.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Renewable Energy & Sustainable Energy Access,"Expanding community access to clean energy sources, such as solar, wind, and bioenergy, to reduce reliance on fossil fuels, improve energy security, and support sustainable livelihoods.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Sustainable Land & Soil Management,"Promoting land-use practices that maintain soil health, improve agricultural productivity, and support ecosystem balance. This includes preventing land degradation, enhancing soil fertility, and ensuring that land-use decisions balance environmental conservation with sustainable livelihoods. Effective land and soil management practices contribute to food security, climate resilience, and long-term economic stability for communities.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Water Security & Watershed Protection,"Ensuring access to clean water through forest conservation, wetland protection, and sustainable land management.",In development,Environmental Management,2: Outcome,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),,,,Published to site
Inclusive community governance structures,"Ensuring that local governance mechanisms responsible for decision-making on project activities are inclusive, representative, and effective. These structures may include formal or informal bodies such as village councils, forest user groups, Indigenous governance systems, land management committees, and other community-led institutions. ",Approved,Governance & Compliance,1: Output,,Inclusive Decision Making & Participation (https://www.notion.so/Inclusive-Decision-Making-Participation-31060bfb014e80c08893ed07dace4a85?pvs=21),,,,Published to site
Representation & leadership,"Supporting diverse leadership, including women, youth, and indigenous groups in governance structures",Approved,Governance & Compliance,1: Output,,Inclusive Decision Making & Participation (https://www.notion.so/Inclusive-Decision-Making-Participation-31060bfb014e80c08893ed07dace4a85?pvs=21),,,,Published to site
Participatory decision-making,"Ensuring that communities—including marginalized groups—have meaningful influence in shaping project design, implementation, and benefit-sharing.",Approved,Governance & Compliance,1: Output,,Inclusive Decision Making & Participation (https://www.notion.so/Inclusive-Decision-Making-Participation-31060bfb014e80c08893ed07dace4a85?pvs=21),,,,Published to site
Informed Decision-Making & Personal Agency,"Enabling individuals to access relevant information, develop critical thinking, and apply knowledge to make informed choices about their lives, livelihoods, and participation in community development. Their confidence, self-efficacy, and the ability to act independently and responsibly.",Approved,"Community Development, Systems Strengthening",1: Output,,Increased knowledge and skills (https://www.notion.so/Increased-knowledge-and-skills-31060bfb014e801eadc0d3dcc09ee57e?pvs=21),,,,Published to site
"Community-Led Learning, M&E, and Knowledge Sharing","Building local capacity to monitor progress, reflect on results, and share knowledge across peer groups and networks. This includes the use of participatory monitoring tools, peer learning exchanges, and evidence-based planning to improve accountability, ownership, and adaptive learning.",Approved,"Community Development, Systems Strengthening",1: Output,,Increased knowledge and skills (https://www.notion.so/Increased-knowledge-and-skills-31060bfb014e801eadc0d3dcc09ee57e?pvs=21),,,,Published to site
Civic Knowledge & Participation,"Increasing awareness of civic rights, responsibilities, and legal entitlements, while strengthening meaningful participation in social, political, and policy processes. This includes understanding laws, speaking up in community forums, and influencing decisions that affect livelihoods, land, or services.",Approved,"Community Development, Systems Strengthening",1: Output,,Increased knowledge and skills (https://www.notion.so/Increased-knowledge-and-skills-31060bfb014e801eadc0d3dcc09ee57e?pvs=21),,,,Published to site
Strengthened Local Governance & Leadership Capacity,"Enhancing the knowledge, skills, and confidence of local leaders, institutions, and governance structures to make inclusive, accountable, and transparent decisions. This includes traditional and elected leaders, youth leaders, and community committees responsible for project implementation or collective planning.",Approved,"Community Development, Systems Strengthening",1: Output,,Increased knowledge and skills (https://www.notion.so/Increased-knowledge-and-skills-31060bfb014e801eadc0d3dcc09ee57e?pvs=21),,,,Published to site
Deforestation Prevention,"Implementing policies, bylaws and practices that prevent deforestation, land degradation, and illegal land conversion.",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
"Policy, Governance & Legal Protections","Enhancing legal frameworks, land tenure security, and institutional capacity to enforce forest protection policies and support community rights.",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
Water & Watershed Protection,"Ensuring that forests continue to provide critical ecosystem services such as water filtration, soil stabilization, and flood prevention through integrated watershed management.",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
Fire Prevention & Disaster Risk Reduction,"Implementing community-led fire management, early warning systems, and training programmes to reduce the risk of wildfires and other climate-induced disasters affecting forests.",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
Sustainable Forest-Based Livelihoods,"Supporting sustainable economic activities such as agroforestry, non-timber forest product harvesting, and ecotourism to provide income while maintaining forest integrity.",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
Biodiversity Conservation & Ecosystem Restoration,"Protecting and restoring forest biodiversity, ensuring the survival of key species, and rehabilitating degraded landscapes to enhance ecological resilience.",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
Community-Led Forest Management,Empowering Indigenous Peoples and Local Communities as custodians of forests,Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
