Sub-theme name,Approved By,Date approved,Decision Notes,Descriptor,Development status,Framework database,Indicators,Practice domain,Status,Temp Filter,Theme database,ToC Stage
"Finance, Fundraising & Resource Mobilization",,,,"How financial resources are secured, managed, and diversified to support delivery, resilience, and long-term sustainability.",,,"How much do you agree with this statement: I feel confident that this programme has sufficient funding confirmed to deliver its planned activities in the current year. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-confident-that-this-programme-has-sufficient-fundi-34060bfb014e817d8614db6d8b13d83b?pvs=21), How much do you agree with this statement: This programme draws on funding from more than one source, which reduces the risk of being dependent on a single funder. (https://www.notion.so/How-much-do-you-agree-with-this-statement-This-programme-draws-on-funding-from-more-than-one-source-34060bfb014e81f4af89ddd0c34d7cea?pvs=21)",,Not Published,Youth Impact,Organisational Capacity & Sustainability (https://www.notion.so/Organisational-Capacity-Sustainability-31360bfb014e80f2b6b6ca23c67707a8?pvs=21),1: Output
Foundational learning experiences,,,,Access to consistent literacy and numeracy learning that supports progression.,,,"How much do you agree with this statement: I feel that I am making progress in my reading skills in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-that-I-am-making-progress-in-my-reading-skills-in--34060bfb014e8185ad46df652361701c?pvs=21), How much do you agree with this statement: I feel that I am making progress in my number and maths skills in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-that-I-am-making-progress-in-my-number-and-maths-s-34060bfb014e811e95d1c1fb1c2bc2de?pvs=21), Do you have a sense of how well your child is reading right now, for example whether they can read simple words, short sentences, or longer texts? (https://www.notion.so/Do-you-have-a-sense-of-how-well-your-child-is-reading-right-now-for-example-whether-they-can-read-s-34060bfb014e815d8c1cd5a3abc911b1?pvs=21), How would you describe your child's reading, and is there something specific you feel they need to work on? (https://www.notion.so/How-would-you-describe-your-child-s-reading-and-is-there-something-specific-you-feel-they-need-to-w-34060bfb014e8181b0a1c6b53ee3a8a1?pvs=21)",,Not Published,Youth Impact,Learning Continuity & Progression (https://www.notion.so/Learning-Continuity-Progression-31360bfb014e808a92ebd7e4b801e317?pvs=21),2: Outcome
Future orientation,,,,Development of future aspirations and goals.,,,"Thinking about your life three years from today, what is one specific goal you have for your education (like finishing a course) or your work (like starting a business or job)? (https://www.notion.so/Thinking-about-your-life-three-years-from-today-what-is-one-specific-goal-you-have-for-your-educati-32e60bfb014e80819260c0bb67c13eaf?pvs=21), What is the very first step you need to take to reach this goal? (https://www.notion.so/What-is-the-very-first-step-you-need-to-take-to-reach-this-goal-32e60bfb014e800389bdef9bc75339f9?pvs=21), In the last 6 months, have you taken a specific action to move closer to a goal? (Examples: saved money, practiced a skill, or asked for advice)? (https://www.notion.so/In-the-last-6-months-have-you-taken-a-specific-action-to-move-closer-to-a-goal-Examples-saved-mo-32e60bfb014e801ea482c0d7bd65176b?pvs=21), When you think about your life five years from now, how do you feel about what it will be like? (https://www.notion.so/When-you-think-about-your-life-five-years-from-now-how-do-you-feel-about-what-it-will-be-like-33f60bfb014e81b881c3dab779c783f5?pvs=21), How much do you agree with this statement: I believe that the choices I make can improve my life. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-believe-that-the-choices-I-make-can-improve-my-life-33f60bfb014e81bbba96f3badeb2a99f?pvs=21), In the last 6 months, have you done something specific to move toward a goal you have for your education or work future? (https://www.notion.so/In-the-last-6-months-have-you-done-something-specific-to-move-toward-a-goal-you-have-for-your-educa-33f60bfb014e8130a1d4c09aad446630?pvs=21), What was the action you took, and what goal were you working toward? (https://www.notion.so/What-was-the-action-you-took-and-what-goal-were-you-working-toward-33f60bfb014e810fb2e2f62e256d7ecb?pvs=21), Is there a specific type of work, job, or way of earning a living that you are actively getting ready for right now? (https://www.notion.so/Is-there-a-specific-type-of-work-job-or-way-of-earning-a-living-that-you-are-actively-getting-read-33f60bfb014e819c8c8aefd349c8ca7c?pvs=21), What type of work or livelihood are you preparing for, and what have you done to prepare? (https://www.notion.so/What-type-of-work-or-livelihood-are-you-preparing-for-and-what-have-you-done-to-prepare-33f60bfb014e81cba1e7cb1aa29c9d52?pvs=21)",,Not Published,Youth Impact,Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21),2: Outcome
Governance & Board Effectiveness,,,,"How leadership and governance systems provide oversight, accountability, direction, and decision-making that support organisational integrity and long-term performance.",,,"How much do you agree with this statement: I have a clear understanding of my role and responsibilities as a member of the governing board. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-have-a-clear-understanding-of-my-role-and-responsibilit-34060bfb014e81449933ccda6e9516ce?pvs=21), How much do you agree with this statement: I understand the difference between my role as a board member and the role of the organisation's management team. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-understand-the-difference-between-my-role-as-a-board-me-34060bfb014e8135a90dce0a5eca5fa0?pvs=21), How much do you agree with this statement: I feel confident raising a concern or challenge to management when I believe it is in the best interests of the organisation. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-confident-raising-a-concern-or-challenge-to-manage-34060bfb014e81efa1f9c31ddf165ad9?pvs=21)",,Not Published,Youth Impact,Organisational Capacity & Sustainability (https://www.notion.so/Organisational-Capacity-Sustainability-31360bfb014e80f2b6b6ca23c67707a8?pvs=21),1: Output
Guidance and transition decision-making,,,,Access to guidance and support for informed transition choices.,,,,,Not Published,Youth Impact,Pathway Awareness & Navigation (https://www.notion.so/Pathway-Awareness-Navigation-31360bfb014e8078b3a4eb50d52b1748?pvs=21),2: Outcome
Health and nutritional-related learning readiness,,,,Health and nutrition factors that affect learners’ ability to engage in learning.,,,"In the current school term, do you usually have something to eat before you come to your learning sessions? (https://www.notion.so/In-the-current-school-term-do-you-usually-have-something-to-eat-before-you-come-to-your-learning-se-34060bfb014e8134bd1bff9b938fe87b?pvs=21), In the current school term, how often do you arrive at your learning sessions feeling too hungry or too tired to concentrate? (https://www.notion.so/In-the-current-school-term-how-often-do-you-arrive-at-your-learning-sessions-feeling-too-hungry-or--34060bfb014e811c8f0bf824528a2416?pvs=21), Is it mostly hunger, tiredness, or both? Is there a particular time of day or week when it is worse? (https://www.notion.so/Is-it-mostly-hunger-tiredness-or-both-Is-there-a-particular-time-of-day-or-week-when-it-is-worse-34060bfb014e8130bddae73762c0b2db?pvs=21), In the current school term, have you missed any learning sessions because you were sick or physically unable to attend? (https://www.notion.so/In-the-current-school-term-have-you-missed-any-learning-sessions-because-you-were-sick-or-physicall-34060bfb014e811fa4b6cbc9208a57f7?pvs=21), Roughly how many sessions did you miss, and what was the health issue? (https://www.notion.so/Roughly-how-many-sessions-did-you-miss-and-what-was-the-health-issue-34060bfb014e817f8737f78f6ca151f5?pvs=21)",,Not Published,Youth Impact,Readiness to Learn (https://www.notion.so/Readiness-to-Learn-31360bfb014e80e4a75aea741fce5a52?pvs=21),2: Outcome
"Human Resources, Staff  Wellbeing & Development",,,,"How staff are recruited, supported, developed, and retained to ensure the organisation has capable teams, strong leadership, and a healthy working culture.",,,"How much do you agree with this statement: In the past 12 months, I received a formal performance review that was documented and signed off by my line manager. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-the-past-12-months-I-received-a-formal-performance-re-34060bfb014e8124ab40cda71b7fd190?pvs=21), How much do you agree with this statement: I have a current written development plan that was agreed with my line manager in the past 12 months and reflects my learning needs. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-have-a-current-written-development-plan-that-was-agreed-34060bfb014e81c58471ee44712d7044?pvs=21), How much do you agree with this statement: I intend to remain in my current role with this organisation for the next 12 months. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-intend-to-remain-in-my-current-role-with-this-organisat-34060bfb014e8181abf8ecbf809609d0?pvs=21)",,Not Published,Youth Impact,Organisational Capacity & Sustainability (https://www.notion.so/Organisational-Capacity-Sustainability-31360bfb014e80f2b6b6ca23c67707a8?pvs=21),1: Output
Inclusion of vulnerable learners,,,,"Intentional inclusion of learners facing poverty, disability, gender-based, or social barriers.",,,"In the current school term, how often do you attend your learning sessions? (https://www.notion.so/In-the-current-school-term-how-often-do-you-attend-your-learning-sessions-34060bfb014e81fd98e9ea7549b203c0?pvs=21), What has made it difficult to attend some sessions? (https://www.notion.so/What-has-made-it-difficult-to-attend-some-sessions-34060bfb014e816bb217e5e7015ad6f5?pvs=21), How much do you agree with this statement: I feel that I am keeping up with what is being taught in this programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-that-I-am-keeping-up-with-what-is-being-taught-in--34060bfb014e812da8a8e49e95ef3704?pvs=21), How much do you agree with this statement: When I find something difficult, there is someone or something in this programme that helps me catch up. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-find-something-difficult-there-is-someone-or-some-34060bfb014e819a8cfecf520583dc4e?pvs=21), In the current school term, did the programme make any changes or provide any extra support to help you participate because of your disability or difficulty? (https://www.notion.so/In-the-current-school-term-did-the-programme-make-any-changes-or-provide-any-extra-support-to-help--34060bfb014e815aa7c1db36fea2042b?pvs=21), What support or change was provided, and did it help you take part more fully? (https://www.notion.so/What-support-or-change-was-provided-and-did-it-help-you-take-part-more-fully-34060bfb014e810996fcdee2a5314446?pvs=21)",,Not Published,Youth Impact,Inclusive Learning Environments (https://www.notion.so/Inclusive-Learning-Environments-31360bfb014e800ca568f773a3b6ce24?pvs=21),1: Output
Internal Systems for Delivery & Coordination,,,,"The internal processes and ways of working that enable consistent delivery, effective coordination, quality assurance, and smooth implementation.",,,"In the past reporting period, did you log or report a delivery problem or blockage that was preventing programme activities from happening as planned? (https://www.notion.so/In-the-past-reporting-period-did-you-log-or-report-a-delivery-problem-or-blockage-that-was-preventi-34060bfb014e8166a9dcd14119761a1c?pvs=21), What was the problem, was it resolved, and how long did it take? (https://www.notion.so/What-was-the-problem-was-it-resolved-and-how-long-did-it-take-34060bfb014e811f836afd2a0ba86f0f?pvs=21), How much do you agree with this statement: The internal systems I rely on to do my work, including data management, communication, and financial processes, support me to work effectively. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-internal-systems-I-rely-on-to-do-my-work-including-d-34060bfb014e81f9967de77ee522be7e?pvs=21)",,Not Published,Youth Impact,Organisational Capacity & Sustainability (https://www.notion.so/Organisational-Capacity-Sustainability-31360bfb014e80f2b6b6ca23c67707a8?pvs=21),1: Output
Learner-centred pedagogy,,,,"Approaches to teaching that actively engage learners and respond to diverse needs.
",,,"How much do you agree with this statement: In my learning sessions, my teacher or facilitator uses activities that help me engage actively, not just listen and copy. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-my-learning-sessions-my-teacher-or-facilitator-uses-a-34060bfb014e813291d7caee7aed6442?pvs=21), How much do you agree with this statement: In my learning sessions, I often work with other learners to solve problems or complete tasks together. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-my-learning-sessions-I-often-work-with-other-learners-34060bfb014e812c8949c83c8c0ed37d?pvs=21), How much do you agree with this statement: My teacher or facilitator uses different kinds of activities in sessions, so learning does not always happen the same way. (https://www.notion.so/How-much-do-you-agree-with-this-statement-My-teacher-or-facilitator-uses-different-kinds-of-activit-34060bfb014e81f7a3fedace92a0e296?pvs=21)",,Not Published,Youth Impact,Teaching Practice & Facilitation (https://www.notion.so/Teaching-Practice-Facilitation-31360bfb014e80b0bf16e1578eb3ade7?pvs=21),1: Output
Operational Infrastructure / TLC Platform,,,,"The physical, digital, and operational infrastructure that enables effective service delivery, collaboration, learning, and scale.",,,,,Not Published,Youth Impact,Organisational Capacity & Sustainability (https://www.notion.so/Organisational-Capacity-Sustainability-31360bfb014e80f2b6b6ca23c67707a8?pvs=21),1: Output
