Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
"Women, youth, and other groups in this community have real opportunities to participate in decisions related to this intervention.",Scale,"To what extent do you agree or disagree with the following statement?
",No,Perceived inclusion of diverse groups in decision-making (https://www.notion.so/Perceived-inclusion-of-diverse-groups-in-decision-making-31e60bfb014e8061aa07c84d75b70eb8?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
Some households or individuals receive more benefits from this intervention because they have special connections or influence.,Scale,"To what extent do you agree or disagree with the following statement?
",No,Perceived favouritism in benefit distribution (https://www.notion.so/Perceived-favouritism-in-benefit-distribution-31e60bfb014e8015800ce81a3eae8c95?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The benefits from this intervention are distributed fairly among households in this community.,Scale,"To what extent do you agree or disagree with the following statement?
",No,Perceived favouritism in benefit distribution (https://www.notion.so/Perceived-favouritism-in-benefit-distribution-31e60bfb014e8015800ce81a3eae8c95?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"Some groups in the community receive more benefits from this intervention than others.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived favouritism in benefit distribution (https://www.notion.so/Perceived-favouritism-in-benefit-distribution-31e60bfb014e8015800ce81a3eae8c95?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The benefits from this intervention are distributed fairly among households in this community.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived fairness of benefit distribution (https://www.notion.so/Perceived-fairness-of-benefit-distribution-31e60bfb014e80bbba77edbb7f89b108?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The benefits from this intervention are distributed fairly among households in this community.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived fairness of benefit distribution (https://www.notion.so/Perceived-fairness-of-benefit-distribution-31e60bfb014e80bbba77edbb7f89b108?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The benefits from this intervention are shared across the community rather than concentrated among a few households.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived fairness of benefit distribution (https://www.notion.so/Perceived-fairness-of-benefit-distribution-31e60bfb014e80bbba77edbb7f89b108?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"I am concerned that the benefits from this intervention could stop unexpectedly.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Risk of Sudden Interruption of Intervention Benefits (https://www.notion.so/Perceived-Risk-of-Sudden-Interruption-of-Intervention-Benefits-31e60bfb014e8047b37cec80ac0c5ea1?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The benefits from this intervention are stable and likely to continue in the future.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Risk of Sudden Interruption of Intervention Benefits (https://www.notion.so/Perceived-Risk-of-Sudden-Interruption-of-Intervention-Benefits-31e60bfb014e8047b37cec80ac0c5ea1?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The benefits from this intervention are stable and likely to continue in the future.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Risk of Sudden Interruption of Intervention Benefits (https://www.notion.so/Perceived-Risk-of-Sudden-Interruption-of-Intervention-Benefits-31e60bfb014e8047b37cec80ac0c5ea1?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"This intervention is likely to continue operating in this community for several years.
",Scale,To what extent do you agree or disagree with the following statement?,No,Confidence that the Intervention Will Remain in Place (https://www.notion.so/Confidence-that-the-Intervention-Will-Remain-in-Place-31e60bfb014e80a58335ce61f1907377?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"This intervention is likely to continue operating in this community for several years.
",Scale,To what extent do you agree or disagree with the following statement?,No,Confidence that the Intervention Will Remain in Place (https://www.notion.so/Confidence-that-the-Intervention-Will-Remain-in-Place-31e60bfb014e80a58335ce61f1907377?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"It is likely that the activities associated with this intervention will continue in the coming years.
",Scale,To what extent do you agree or disagree with the following statement?,No,Confidence that the Intervention Will Remain in Place (https://www.notion.so/Confidence-that-the-Intervention-Will-Remain-in-Place-31e60bfb014e80a58335ce61f1907377?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The benefits from this intervention are likely to continue for a long time.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Continuity of Intervention Benefits (https://www.notion.so/Perceived-Continuity-of-Intervention-Benefits-31e60bfb014e804fb0d8cb37ab55eb53?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The positive changes created by this intervention will continue in the future.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Continuity of Intervention Benefits (https://www.notion.so/Perceived-Continuity-of-Intervention-Benefits-31e60bfb014e804fb0d8cb37ab55eb53?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The positive changes created by this intervention will continue in the future.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Continuity of Intervention Benefits (https://www.notion.so/Perceived-Continuity-of-Intervention-Benefits-31e60bfb014e804fb0d8cb37ab55eb53?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The organisations responsible for this intervention respond appropriately to concerns raised by community members.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Responsiveness of Implementers to Community Concerns (https://www.notion.so/Perceived-Responsiveness-of-Implementers-to-Community-Concerns-31e60bfb014e80e5be18d1fef2a58caa?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The organisations responsible for this intervention listen to the concerns of community members.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Responsiveness of Implementers to Community Concerns (https://www.notion.so/Perceived-Responsiveness-of-Implementers-to-Community-Concerns-31e60bfb014e80e5be18d1fef2a58caa?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"When community members raise concerns about this intervention, something is done to address them.",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Responsiveness of Implementers to Community Concerns (https://www.notion.so/Perceived-Responsiveness-of-Implementers-to-Community-Concerns-31e60bfb014e80e5be18d1fef2a58caa?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The organisations responsible for this intervention act in the best interests of the community.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Goodwill of Implementers Toward the Community (https://www.notion.so/Perceived-Goodwill-of-Implementers-Toward-the-Community-31e60bfb014e80acba83d2254cc4279f?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The organisations responsible for this intervention genuinely care about the wellbeing of people in this community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Goodwill of Implementers Toward the Community (https://www.notion.so/Perceived-Goodwill-of-Implementers-Toward-the-Community-31e60bfb014e80acba83d2254cc4279f?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The organisations responsible for this intervention act in good faith toward the community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Goodwill of Implementers Toward the Community (https://www.notion.so/Perceived-Goodwill-of-Implementers-Toward-the-Community-31e60bfb014e80acba83d2254cc4279f?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The organisations responsible for this intervention act honestly in how they manage the intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Integrity of Intervention Implementers (https://www.notion.so/Perceived-Integrity-of-Intervention-Implementers-31e60bfb014e8067a3d6d812b5714302?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The organisations responsible for this intervention act honestly in how they manage the intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Integrity of Intervention Implementers (https://www.notion.so/Perceived-Integrity-of-Intervention-Implementers-31e60bfb014e8067a3d6d812b5714302?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The organisations responsible for this intervention follow the rules and commitments they have made to the community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived Integrity of Intervention Implementers (https://www.notion.so/Perceived-Integrity-of-Intervention-Implementers-31e60bfb014e8067a3d6d812b5714302?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The rules associated with this intervention make it difficult for some people in the community to carry out their usual activities.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived burdens or restrictions associated with intervention rules (https://www.notion.so/Perceived-burdens-or-restrictions-associated-with-intervention-rules-31e60bfb014e80148a78ffbd57a172d4?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"Following the rules of this intervention requires a lot of effort or adjustment from community members.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived burdens or restrictions associated with intervention rules (https://www.notion.so/Perceived-burdens-or-restrictions-associated-with-intervention-rules-31e60bfb014e80148a78ffbd57a172d4?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"Some community members feel pressured or worried about complying with the rules of this intervention.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived burdens or restrictions associated with intervention rules (https://www.notion.so/Perceived-burdens-or-restrictions-associated-with-intervention-rules-31e60bfb014e80148a78ffbd57a172d4?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
Some individuals or groups in this community are excluded from the benefits of this intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived exclusion or negative impacts on some community members (https://www.notion.so/Perceived-exclusion-or-negative-impacts-on-some-community-members-31e60bfb014e805e81edf44c68a2486f?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
