Indicator statement,Indicator descriptor,Sub-themes,Theme,Development Status,Indicator Type,Level of Analysis,ToC stage,Indicator sources,Developed By,Date Started,Date Completed,Status
"Rate of teacher diary entries receiving a caregiver signature within one week, across the school term prior to the survey, verified through physical diary review","Measures the proportion of teacher diary entries that receive a caregiver signature within one week, used as a system-level rate of minimum caregiver compliance with the school-home communication protocol across the school term.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Organisation,2: Outcome,Use of School Diaries to track homework accomplishment on both parent and teacher side is widespread in many learning institutions for early education.  (https://www.notion.so/Use-of-School-Diaries-to-track-homework-accomplishment-on-both-parent-and-teacher-side-is-widespread-32160bfb014e800b8087e8d69c0f6290?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
Proportion of learners who report that household responsibilities did not cause them to miss school on more than two days in the school term prior to the survey,"Measures the share of learners who report that household responsibilities did not cause them to miss school on more than two days in the school term prior to the survey, used as a child-reported proxy for household demand interference with school attendance.","Stability, routines, and norms (https://www.notion.so/Stability-routines-and-norms-31260bfb014e80c6a610d11ca59d96cc?pvs=21)",Home Conditions for Learning,Draft,Quantitative,Individual,2: Outcome,We deserve better: Unlocking the power of social protection for women and girls. (https://www.notion.so/We-deserve-better-Unlocking-the-power-of-social-protection-for-women-and-girls-32260bfb014e80f9877cee373cc6a2b4?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
Proportion of learners who report having a defined study routine that they followed on at least four of five school days each week in the school term prior to the survey,"Measures the share of learners who report having a defined study routine that they followed on at least four of five school days each week in the school term prior to the survey, used as a proxy for routine stability as a structural home condition supporting consistent home-based learning.","Stability, routines, and norms (https://www.notion.so/Stability-routines-and-norms-31260bfb014e80c6a610d11ca59d96cc?pvs=21)",Home Conditions for Learning,Draft,Quantitative,Individual,2: Outcome,Study Plans Promote Daily Review (https://www.notion.so/Study-Plans-Promote-Daily-Review-32260bfb014e80deb416f31911cdcc8e?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of enrolled learners from programme-defined vulnerable groups who achieved an attendance rate of at least 80 percent in the most recent completed school term, verified through attendance records","Measures the share of enrolled learners from programme-defined vulnerable groups who achieved an attendance rate of at least 80 percent in the most recent completed school term, used as a sustained participation indicator for whether inclusion of vulnerable learners is maintained beyond enrolment.",Inclusion of vulnerable learners (https://www.notion.so/Inclusion-of-vulnerable-learners-31260bfb014e80afb9a0c6bcdb0cfca0?pvs=21),Inclusive Learning Environments,Draft,Quantitative,Individual,2: Outcome,SDG 4: Quality Education (https://www.notion.so/SDG-4-Quality-Education-32260bfb014e80908779e189463037dc?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of enrolled learners from programme-defined vulnerable groups who completed the school year and progressed to the next grade, in the most recent completed school year","Measures the share of enrolled learners from programme-defined vulnerable groups who completed the school year and progressed to the next grade, used as a structural inclusion outcome indicator of whether vulnerable learners are being retained in the education system.",Inclusion of vulnerable learners (https://www.notion.so/Inclusion-of-vulnerable-learners-31260bfb014e80afb9a0c6bcdb0cfca0?pvs=21),Inclusive Learning Environments,Draft,Quantitative,Individual,2: Outcome,SDG 4: Quality Education (https://www.notion.so/SDG-4-Quality-Education-32260bfb014e80908779e189463037dc?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who report feeling free from fear, humiliation, and intimidation in the programme learning space in the school term prior to the survey, measured on a structured instrument","Measures the share of learners who report feeling free from fear, humiliation, and intimidation in the programme learning space in the school term prior to the survey, used as a perceptual safety indicator for the emotional dimension of learning environment quality.","Safety, dignity and respect in learning spaces (https://www.notion.so/Safety-dignity-and-respect-in-learning-spaces-31260bfb014e80ac91f0cad9217af2fc?pvs=21)",Inclusive Learning Environments,Draft,Scale-Based,Individual,2: Outcome,"Five essential pillars for promoting
and protecting mental health and
psychosocial well-being in schools and learning environments (https://www.notion.so/Five-essential-pillars-for-promoting-and-protecting-mental-health-and-psychosocial-well-being-in-sch-32260bfb014e80109c2eea91937ba87e?pvs=21), Safe to Learn: creating safe and
enabling learning environments by
scaling Social and Behaviour Change
 (https://www.notion.so/Safe-to-Learn-creating-safe-and-enabling-learning-environments-by-scaling-Social-and-Behaviour-Chan-32260bfb014e80c3be9df203bf58bf6e?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who report feeling free from physical harm, threat, or violence within the programme learning space in the school term prior to the survey, measured on a structured instrument","Measures the share of learners who report feeling free from physical harm, threat, or violence within the programme learning space in the school term prior to the survey, used as a perceptual physical safety indicator for the in-space dimension of learning environment quality.","Safety, dignity and respect in learning spaces (https://www.notion.so/Safety-dignity-and-respect-in-learning-spaces-31260bfb014e80ac91f0cad9217af2fc?pvs=21)",Inclusive Learning Environments,Draft,Scale-Based,Individual,2: Outcome,"Five essential pillars for promoting
and protecting mental health and
psychosocial well-being in schools and learning environments (https://www.notion.so/Five-essential-pillars-for-promoting-and-protecting-mental-health-and-psychosocial-well-being-in-sch-32260bfb014e80109c2eea91937ba87e?pvs=21), Safe to Learn: creating safe and
enabling learning environments by
scaling Social and Behaviour Change
 (https://www.notion.so/Safe-to-Learn-creating-safe-and-enabling-learning-environments-by-scaling-Social-and-Behaviour-Chan-32260bfb014e80c3be9df203bf58bf6e?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
Proportion of learners scoring above the agreed threshold on a self-efficacy/self-worth scale at baseline and endline.,Measures change in self-belief using a defined scale threshold.,Confidence and self-worth (https://www.notion.so/Confidence-and-self-worth-31260bfb014e80e8b900e9e96a89453d?pvs=21),Psychosocial  Wellbeing,Draft,"Qualitative, Quantitative",Individual,2: Outcome,SDG 4: Quality Education (https://www.notion.so/SDG-4-Quality-Education-32260bfb014e80908779e189463037dc?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
Proportion of learners who agree with the statement “I can succeed in my learning when I try.”,Measures academic self-efficacy/growth-oriented belief.,Confidence and self-worth (https://www.notion.so/Confidence-and-self-worth-31260bfb014e80e8b900e9e96a89453d?pvs=21),Psychosocial  Wellbeing,Draft,"Qualitative, Quantitative",Individual,2: Outcome,SDG 4: Quality Education (https://www.notion.so/SDG-4-Quality-Education-32260bfb014e80908779e189463037dc?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners reporting they have at least one trusted adult in the learning environment.
",Measures relational protection and help-seeking anchor.,Emotional safety & stability (https://www.notion.so/Emotional-safety-stability-31260bfb014e80739cfacdc3a70aa500?pvs=21),Psychosocial  Wellbeing,Draft,"Qualitative, Quantitative","Community, Individual, Organisation",1: Process,"Safe to Learn: creating safe and
enabling learning environments by
scaling Social and Behaviour Change
 (https://www.notion.so/Safe-to-Learn-creating-safe-and-enabling-learning-environments-by-scaling-Social-and-Behaviour-Chan-32260bfb014e80c3be9df203bf58bf6e?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
Proportion of learners reporting they felt emotionally safe in school or programme spaces on most days in the last month.,"Measures consistency, not just occasional emotional safety.",Emotional safety & stability (https://www.notion.so/Emotional-safety-stability-31260bfb014e80739cfacdc3a70aa500?pvs=21),Psychosocial  Wellbeing,Draft,"Qualitative, Quantitative",Individual,2: Outcome,"Safe to Learn: creating safe and
enabling learning environments by
scaling Social and Behaviour Change
 (https://www.notion.so/Safe-to-Learn-creating-safe-and-enabling-learning-environments-by-scaling-Social-and-Behaviour-Chan-32260bfb014e80c3be9df203bf58bf6e?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who can name a specific next educational level, qualification, or institution they are working toward, at the time of survey","Measures the share of learners who can articulate a concrete, bounded educational goal at the time of survey, used as a proxy for educational future orientation and planning capacity.",Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations,Draft,"Qualitative, Quantitative",Individual,2: Outcome,"SDG 4: Quality Education (https://www.notion.so/SDG-4-Quality-Education-32260bfb014e80908779e189463037dc?pvs=21), Global Framework on Transferable Skills (https://www.notion.so/Global-Framework-on-Transferable-Skills-32260bfb014e80609863ebd11f9ec955?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who can name a specific occupation, type of enterprise, or income-generating activity they are actively preparing for, at the time of survey","Measures the share of learners who can articulate a concrete, bounded livelihood goal they are actively preparing for at the time of survey, used as a proxy for livelihood future orientation and vocational planning capacity.",Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations,Draft,"Qualitative, Quantitative",Individual,2: Outcome,"SDG 4: Quality Education (https://www.notion.so/SDG-4-Quality-Education-32260bfb014e80908779e189463037dc?pvs=21), Global Framework on Transferable Skills (https://www.notion.so/Global-Framework-on-Transferable-Skills-32260bfb014e80609863ebd11f9ec955?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who report using at least two strategies from a programme-defined adaptive coping strategy list when facing school-related stress in the school term prior to the survey, verified through a naming and description prompt","Measures the share of learners who report using at least two strategies from a programme-defined adaptive coping strategy list when facing school-related stress in the school term prior to the survey, used as a coping repertoire breadth indicator for whether learners have and use multiple adaptive coping strategies rather than relying on a single approach or maladaptive alternatives.",Resilience and coping (https://www.notion.so/Resilience-and-coping-31260bfb014e803b8957d2bb219b062b?pvs=21),Psychosocial  Wellbeing,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who can articulate at least three distinct personal strengths, evidenced through a facilitated structured reflection tool, at the time of survey","Measures the share of learners who can name and describe at least three distinct personal strengths during a facilitated reflection exercise at the time of survey, used as a proxy for self-awareness and strengths-based self-concept.","Self-awareness and identity
  formation (https://www.notion.so/Self-awareness-and-identity-formation-31260bfb014e80bf851ce5cfa98a8fc6?pvs=21)",Agency & Aspirations,Draft,Quantitative,Individual,2: Outcome,Global Framework on Transferable Skills (https://www.notion.so/Global-Framework-on-Transferable-Skills-32260bfb014e80609863ebd11f9ec955?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who report a positive sense of self-worth across at least two programme-defined identity dimensions, measured on a validated scale at the time of survey","Measures the share of learners who report feeling positively about who they are across a defined set of identity dimensions relevant to the programme context, used as a proxy for affective self-worth and identity affirmation.","Self-awareness and identity
  formation (https://www.notion.so/Self-awareness-and-identity-formation-31260bfb014e80bf851ce5cfa98a8fc6?pvs=21)",Agency & Aspirations,Draft,Scale-Based,Individual,2: Outcome,"Five essential pillars for promoting
and protecting mental health and
psychosocial well-being in schools and learning environments (https://www.notion.so/Five-essential-pillars-for-promoting-and-protecting-mental-health-and-psychosocial-well-being-in-sch-32260bfb014e80109c2eea91937ba87e?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners with no disruption in caregiving arrangement, shelter, or schooling in the last 6 months.
",Measures educational and caregiving stability.,Stability affecting participation (https://www.notion.so/Stability-affecting-participation-31260bfb014e80fab59afdb1365bafdf?pvs=21),,Draft,,,,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learners who have experienced disruption in caregiving arrangement, shelter, or schooling in the last 6 months.
",Measures exposure to instability affecting learning continuity.,Stability affecting participation (https://www.notion.so/Stability-affecting-participation-31260bfb014e80fab59afdb1365bafdf?pvs=21),,Draft,,,,,Belinda Mziray,"March 11, 2026",,Not Published
"Number of school days missed due to housing, safety, or caregiving instability per learner per term.",Measures intensity of instability-related learning loss.,Stability affecting participation (https://www.notion.so/Stability-affecting-participation-31260bfb014e80fab59afdb1365bafdf?pvs=21),,Draft,,,,,Belinda Mziray,"March 11, 2026",,Not Published
Proportion of youth who report holding or fulfilling a named peer leadership or mentoring role in the 12 months prior to the survey,"Measures the share of youth who report holding or fulfilling a named peer leadership or mentoring role in the 12 months prior to the survey, used as a proxy for active leadership contribution and relational influence within the peer group or community.",Peer leadership and community   contribution (https://www.notion.so/Peer-leadership-and-community-contribution-31260bfb014e80269da9e18c35a3cb35?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,"Skills for the Future Global Platform        A global platform for voluntary commitments in youth skills development (https://www.notion.so/Skills-for-the-Future-Global-Platform-A-global-platform-for-voluntary-commitments-in-youth-sk-32260bfb014e80bb88aec73b6cb8c3cc?pvs=21), Global Framework on Transferable Skills (https://www.notion.so/Global-Framework-on-Transferable-Skills-32260bfb014e80609863ebd11f9ec955?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of youth who report perceiving that their ideas shaped the direction or outcome of a group, school, or community activity in the six months prior to the survey","Measures the share of youth who report perceiving that their ideas shaped the direction or outcome of a group, school, or community activity in the six months prior to the survey, used as a perceptual influence indicator complementing the evidenced influence measure in indicator 2b.",Peer leadership and community   contribution (https://www.notion.so/Peer-leadership-and-community-contribution-31260bfb014e80269da9e18c35a3cb35?pvs=21),Contribution  & Leadership,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of youth who report having a structured opportunity to contribute ideas or suggestions in a defined group, school, or community setting in the six months prior to the survey","Measures the share of youth who report having a structured opportunity to contribute ideas or suggestions in a defined group, school, or community setting in the six months prior to the survey, used as a voice access indicator distinct from whether those ideas were acted upon.",Peer leadership and community   contribution (https://www.notion.so/Peer-leadership-and-community-contribution-31260bfb014e80269da9e18c35a3cb35?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of total programme participants who belong to each pre-defined priority group as identified in the programme equity targeting framework, in the reporting year","Measures the share of total programme participants who belong to each pre-defined priority group as identified in the programme equity targeting framework, used as an annual participation coverage indicator for equity-targeted programme reach.",Targeting and barrier reduction (https://www.notion.so/Targeting-and-barrier-reduction-31260bfb014e802fa0f7c9e53b7a30c2?pvs=21),Equity & Inclusion,Draft,Quantitative,Individual,1: Process,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of identified participation barriers that have a documented mitigation plan within 12 months of identification, verified through barrier monitoring records","Measures the share of participation barriers identified through the programme's barrier monitoring process that have a documented mitigation plan within 12 months of identification, used as a planning responsiveness indicator for the barrier reduction pipeline.",Targeting and barrier reduction (https://www.notion.so/Targeting-and-barrier-reduction-31260bfb014e802fa0f7c9e53b7a30c2?pvs=21),Equity & Inclusion,Draft,Quantitative,Organisation,1: Process,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of logged community feedback cases that received a first response within the programme-defined service level agreement timeframe, in the reporting period","Measures the proportion of logged community feedback cases that received a first response within the programme-defined service level agreement timeframe, used as a system-level indicator of the responsiveness of the feedback and accountability mechanism.",Community Engagement & Accountability (https://www.notion.so/Community-Engagement-Accountability-31260bfb014e8035add1e523f770dc15?pvs=21),Community  & Partnership Engagement,Draft,Quantitative,Organisation,2: Outcome,,Belinda Mziray,"March 11, 2026",,Not Published
Proportion of targeted decision-makers on the programme stakeholder map who received at least one programme-produced evidence product in the 12 months prior to the survey,"Measures the share of decision-makers on the programme stakeholder map who received at least one programme-produced evidence product in the 12 months prior to the survey, used as a dissemination coverage rate for evidence-based influencing efforts.",Stakeholder Communication  & Influence (https://www.notion.so/Stakeholder-Communication-Influence-31260bfb014e8002aaffed8565df821c?pvs=21),Community  & Partnership Engagement,Draft,Quantitative,Organisation,1: Process,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of targeted policy, planning, or institutional changes in the programme influencing plan that were achieved and evidenced as directly informed by programme evidence or stakeholder engagement in the reporting year","Measures the proportion of policy, planning, or institutional changes identified in the programme influencing plan that were achieved and can be evidenced as directly informed by programme evidence or stakeholder engagement in the reporting year, used as an outcome indicator of the programme's systems-level influence.",Stakeholder Communication  & Influence (https://www.notion.so/Stakeholder-Communication-Influence-31260bfb014e8002aaffed8565df821c?pvs=21),Community  & Partnership Engagement,Draft,Quantitative,System,2: Outcome,,Belinda Mziray,"March 11, 2026",,Not Published
Proportion of programme partners who have formally adopted and are actively reporting against the common programme indicator set in the current reporting period,"Measures the share of programme partners who have formally adopted the common programme indicator set and are actively reporting against it in the current reporting period, used as a proxy for alignment of measurement frameworks across the partner portfolio.",Partner alignment and shared  evidence (https://www.notion.so/Partner-alignment-and-shared-evidence-31260bfb014e80ac89dffdfcd3a9ed44?pvs=21),Coordination  & Collective Learning,Draft,Quantitative,Organisation,1: Process,,Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of planned joint learning or evidence review meetings that were convened in the programme year, verified through meeting records","Measures the proportion of planned joint learning or evidence review meetings that were actually convened in the programme year, used as a regularity indicator of collective reflection practice across the programme and its partners.",Shared Learning and Reflection Practices (https://www.notion.so/Shared-Learning-and-Reflection-Practices-33e60bfb014e8129a317d803320cf2ca?pvs=21),Coordination  & Collective Learning,Draft,Quantitative,Organisation,1: Process,,Belinda Mziray,"March 11, 2026",,Not Published
Perceived influence of community input on decisions,"Measures the extent to which community members perceive that their views, concerns, or contributions influence decisions affecting the community. The indicator captures whether participation processes are seen as meaningful and whether community input is believed to shape final decisions rather than being merely consultative.",Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived inclusion of diverse groups in decision-making,"Measures the extent to which community members perceive that different social groups within the community, such as women, youth, or other marginalized groups, are included in decision-making processes. The indicator captures perceptions of representational inclusiveness and whether decision-making reflects the perspectives of a broad range of community members.",Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived inclusiveness and voice in community decision-making,"Measures the extent to which community members perceive that they have meaningful opportunities to participate in decision-making processes related to the intervention or community activities. The indicator captures whether individuals feel able to attend discussions, share their views, and contribute to decisions that affect their community.",Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived favouritism in benefit distribution,"Measures the extent to which community members perceive that the benefits generated by an intervention favour certain households, groups, or individuals over others. The indicator captures perceptions of partiality or favouritism in benefit allocation, which can undermine the perceived fairness and legitimacy of an intervention.",Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived inclusion of vulnerable households in benefit allocation,"Measures the extent to which community members perceive that poorer or more vulnerable households are included in the distribution of benefits generated by an intervention. The indicator captures perceptions of equitable benefit allocation, specifically whether those with greater need are able to access or receive project benefits rather than being excluded from them.",Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
