Theme Name,Descriptor,Theme Status,ToC Stage
Pathway Awareness & Navigation,Examines how young people understand and navigate education and work pathways.,In Review,Both Stages
Contribution  & Leadership,Concerns how young people contribute to and take leadership roles.,In Review,Both Stages
Equity & Inclusion,Ensures equity considerations are intentionally embedded across all work.,In Review,Both Stages
Safeguarding & Protection,Focuses on protecting children and surrounding communities from harm.,In Review,Both Stages
Learning & Accountability Culture,Concerns how evidence and reflection inform decisions and adaptation.,In Review,Both Stages
Organisational Capacity & Sustainability,"How the organisation is structured, resourced, and managed to deliver its strategy well over time —
  including leadership, systems, culture, and financial sustainability.",In Review,Both Stages
Community  & Partnership Engagement,"The relationships and collaboration approaches that build trust, shared ownership, and collective
  action with communities, stakeholders, and partner organisations.",In Review,2: Outcome
School  & Teacher Systems,Addresses institutional conditions that enable sustained improvement in learning quality.,In Review,Both Stages
Public Sector Engagement,Focuses on how public institutions engage with and adopt effective approaches.,In Review,Both Stages
Coordination  & Collective Learning,"Examines how actors align, share learning, and reduce fragmentation.",In Review,Both Stages
Preparatory Planning,"It refers to the structured, participatory, and legally grounded processes undertaken prior to project implementation to ensure ethical legitimacy, legal clarity, social equity, and ecological integrity. It assesses whether foundational safeguards, rights recognition, baseline evidence, and risk mitigation mechanisms are in place before any physical land-use changes or carbon-related activities begin. This theme evaluates the depth of community inclusion, legal preparedness, and institutional accountability during the project design phase.",Published on Platform,1: Output
Recruitment and Management,"Ensuring that project employment systems are inclusive, fair, and protective of worker dignity. Recruitment and Management safeguards equitable access to jobs, fair compensation, safe working conditions, and accountable labor governance. It ensures that economic benefits generated by the project translate into decent work opportunities for local communities, while protecting workers’ rights and wellbeing.",Published on Platform,1: Output
Social Valuation,"Social Valuation examines stakeholder perceptions of the importance and lived value of experienced changes resulting from carbon revenue–funded activities. It does not measure structural conditions or service provision directly; rather, it assesses how significant and meaningful these changes are to stakeholders.",Published on Platform,2: Outcome
Social Legitimacy,"This theme assesses stakeholder perceptions of the legitimacy and equity of carbon revenue arrangements within villages, including fairness of benefit distribution, inclusiveness of governance processes, experienced social burdens, and trust in the continuation of the system.",Published on Platform,2: Outcome
Demographics,"Demographics instead describe who the respondent is. They are used for:
• disaggregation
• equity analysis
• sampling validation
• context interpretation",Published on Platform,Standard for surveys
Learning Centre Performance,"Tracks the reach and revenue performance of the ConnectGo Learning Centre as a physical and programmatic asset, covering both the mission offer (free learning access) and the commercial offer (space rental and organisational training income).",In Development,Both Stages
Scholars & Alumni,"Tracks the family-level ripple effects of scholar participation in TFFT programmes, capturing whether a scholar's learning journey positively influences the educational attitudes, behaviours, and aspirations of siblings, parents, and wider household members.",In Development,2: Outcome
